lat,lon,sst
9.8958,-121.3542,28.0550
9.8958,-121.3125,27.2550
9.8958,-121.2708,27.4050
9.8958,-121.2292,27.4300
9.8958,-121.1875,27.9100
9.8958,-121.1458,28.0050
9.8958,-121.1042,28.0100
9.8958,-120.6042,27.4250
9.8958,-120.5625,27.4800
9.8958,-120.5208,27.1500
9.8958,-120.4792,27.6200
9.8958,-120.4375,27.6500
9.8958,-120.3958,27.5350
9.8958,-120.2708,26.5200
9.8958,-120.2292,26.5200
9.8542,-139.9375,26.3300
9.8542,-139.8958,26.5450
9.8542,-139.8542,26.7950
9.8542,-139.8125,26.5250
9.8542,-139.7708,26.4650
9.8542,-139.7292,26.3500
9.8542,-139.6875,26.4450
9.8542,-139.6458,26.3100
9.8542,-139.6042,26.3900
9.8542,-139.5625,26.3150
9.8542,-139.5208,26.3100
9.8542,-139.4792,26.5450
9.8542,-139.4375,26.3800
9.8542,-139.3958,26.3600
9.8542,-139.3542,26.3950
9.8542,-139.3125,26.0600
9.8542,-139.2708,26.3650
9.8542,-139.2292,26.5350
9.8542,-139.1875,26.5300
9.8542,-139.1458,26.5450
9.8542,-139.1042,26.5150
9.8542,-139.0625,26.5100
9.8542,-139.0208,26.5400
9.8542,-138.9792,26.5200
9.8542,-138.9375,26.4950
9.8542,-138.8542,26.6600
9.8542,-138.8125,26.7600
9.8542,-138.7708,26.8000
9.8542,-138.7292,26.7050
9.8542,-138.6875,26.6600
9.8542,-138.6458,26.6600
9.8542,-138.6042,26.6350
9.8542,-138.5625,26.4900
9.8542,-138.5208,26.3300
9.8542,-138.4792,26.2800
9.8542,-138.4375,26.2850
9.8542,-138.3958,26.4000
9.8542,-138.3542,26.4200
9.8542,-138.3125,26.4600
9.8542,-138.2708,26.1600
9.8542,-138.2292,26.3350
9.8542,-138.1875,26.4200
9.8542,-138.1458,26.4550
9.8542,-138.1042,26.5000
9.8542,-138.0625,26.3800
9.8542,-138.0208,26.4900
9.8542,-137.9792,26.5250
9.8542,-137.9375,26.2950
9.8542,-137.8542,26.3800
9.8542,-137.8125,26.3950
9.8542,-137.7708,26.5000
9.8542,-137.7292,26.5250
9.8542,-137.6875,26.6500
9.8542,-137.6458,26.9400
9.8542,-135.9792,24.6600
9.8542,-135.9375,24.6650
9.8542,-135.8125,26.7100
9.8542,-135.7708,26.6550
9.8542,-135.7292,26.4600
9.8542,-135.6875,26.1400
9.8542,-122.2708,27.9850
9.8542,-122.2292,27.9200
9.8542,-122.1875,27.8850
9.8542,-122.1458,27.8900
9.8542,-121.9792,27.4350
9.8542,-121.9375,27.3500
9.8542,-121.8958,27.2900
9.8542,-121.7292,27.7700
9.8542,-121.6875,27.8300
9.8542,-121.6458,27.6850
9.8542,-121.6042,27.5750
9.8542,-121.5625,27.7700
9.8542,-121.5208,27.5750
9.8542,-121.4792,27.3400
9.8542,-121.4375,27.4100
9.8542,-121.3958,27.7600
9.8542,-121.3542,27.4500
9.8542,-121.3125,26.8700
9.8542,-120.6042,27.4550
9.8542,-120.5625,27.4550
9.8542,-120.5208,27.8200
9.8542,-120.4792,27.8200
9.8542,-120.4375,27.6750
9.8542,-120.3958,27.6750
9.8542,-120.3542,26.9750
9.8542,-120.3125,26.4900
9.8542,-120.2708,27.0000
9.8542,-120.2292,26.8550
9.8542,-120.1875,26.8250
9.8125,-139.9792,26.4650
9.8125,-139.9375,26.7000
9.8125,-139.8958,26.5900
9.8125,-139.8542,26.2300
9.8125,-139.8125,26.2350
9.8125,-139.7708,26.6250
9.8125,-139.7292,26.3950
9.8125,-139.6875,26.4750
9.8125,-139.6458,26.5000
9.8125,-139.6042,26.2200
9.8125,-139.5625,26.4950
9.8125,-139.5208,26.6700
9.8125,-139.4792,26.4850
9.8125,-139.4375,26.3900
9.8125,-139.3958,26.6450
9.8125,-139.3542,26.7850
9.8125,-139.3125,26.7650
9.8125,-139.2708,26.7900
9.8125,-139.2292,26.7100
9.8125,-139.1875,26.6550
9.8125,-139.1458,26.5650
9.8125,-139.1042,26.5400
9.8125,-139.0208,26.4050
9.8125,-138.9792,26.4050
9.8125,-138.8125,26.7250
9.8125,-138.7708,26.5700
9.8125,-138.7292,26.4800
9.8125,-138.6875,26.4850
9.8125,-138.6458,26.2200
9.8125,-138.6042,26.2650
9.8125,-138.5625,26.3800
9.8125,-138.5208,26.2050
9.8125,-138.4792,26.1850
9.8125,-138.4375,26.5000
9.8125,-138.3958,26.5800
9.8125,-138.3542,26.5600
9.8125,-138.3125,26.5000
9.8125,-138.2708,26.3650
9.8125,-138.2292,26.1900
9.8125,-138.1875,25.9900
9.8125,-138.1458,25.9400
9.8125,-138.1042,25.9250
9.8125,-138.0625,26.3350
9.8125,-138.0208,26.5550
9.8125,-137.9792,26.4300
9.8125,-137.9375,26.2800
9.8125,-137.8958,26.2950
9.8125,-137.8542,26.5550
9.8125,-137.8125,26.5150
9.8125,-137.7708,26.5200
9.8125,-137.7292,26.6950
9.8125,-137.6875,26.7650
9.8125,-137.6458,26.4450
9.8125,-136.0208,25.9400
9.8125,-135.9792,25.7200
9.8125,-135.9375,25.5350
9.8125,-135.8542,26.4450
9.8125,-135.8125,26.7450
9.8125,-135.7708,26.7350
9.8125,-135.7292,26.2300
9.8125,-135.6875,25.5050
9.8125,-122.2708,27.9000
9.8125,-122.2292,27.8800
9.8125,-122.1875,27.7300
9.8125,-122.1458,27.6350
9.8125,-122.1042,27.6100
9.8125,-121.9792,26.8300
9.8125,-121.9375,27.0750
9.8125,-121.8958,27.2350
9.8125,-121.7708,27.8100
9.8125,-121.7292,27.7900
9.8125,-121.6875,27.9450
9.8125,-121.6458,27.8950
9.8125,-121.6042,27.7650
9.8125,-121.5625,27.7950
9.8125,-121.5208,27.6000
9.8125,-121.4792,27.5700
9.8125,-121.4375,27.7300
9.8125,-121.3958,27.5800
9.8125,-121.3542,27.4350
9.8125,-121.3125,27.5800
9.8125,-121.2708,27.9000
9.8125,-121.2292,28.0350
9.8125,-121.1875,27.9650
9.8125,-121.1458,27.7150
9.8125,-120.3958,26.5750
9.8125,-120.3542,26.5800
9.8125,-120.3125,26.6400
9.8125,-120.2708,26.8950
9.8125,-120.2292,26.4300
9.8125,-120.1875,27.6200
9.7708,-139.9792,26.7800
9.7708,-139.9375,26.1600
9.7708,-139.8958,26.2750
9.7708,-139.8542,26.4600
9.7708,-139.8125,26.2300
9.7708,-139.7708,26.5650
9.7708,-139.7292,26.5400
9.7708,-139.6875,26.5750
9.7708,-139.6458,26.5400
9.7708,-139.6042,26.4900
9.7708,-139.5625,26.3550
9.7708,-139.5208,26.6350
9.7708,-139.4792,26.4950
9.7708,-139.4375,26.5600
9.7708,-139.3958,26.6750
9.7708,-139.3542,26.9500
9.7708,-139.3125,26.7700
9.7708,-139.2708,26.7550
9.7708,-139.2292,26.2800
9.7708,-139.1875,26.2600
9.7708,-139.1458,26.7450
9.7708,-139.1042,26.8150
9.7708,-138.9375,26.6400
9.7708,-138.8958,26.6400
9.7708,-138.8542,26.8050
9.7708,-138.8125,26.5450
9.7708,-138.7708,26.6400
9.7708,-138.7292,26.3350
9.7708,-138.6875,26.5100
9.7708,-138.6458,26.3200
9.7708,-138.6042,26.2900
