lat,lon,sst
4.9792,-159.4375,27.8650
4.9792,-159.3958,27.8450
4.9792,-159.3542,27.6200
4.9792,-159.3125,27.8000
4.9792,-159.2708,27.9400
4.9792,-159.2292,27.8650
4.9792,-159.1875,27.6150
4.9792,-159.1458,27.7200
4.9792,-159.1042,27.7850
4.9792,-159.0625,27.9550
4.9792,-159.0208,27.9350
4.9792,-158.9792,27.9000
4.9792,-158.9375,27.9200
4.9792,-158.8958,27.9450
4.9792,-158.8542,28.0350
4.9792,-158.8125,28.0250
4.9792,-158.7708,27.9600
4.9792,-158.7292,28.0750
4.9792,-158.6875,28.0850
4.9792,-158.6458,28.0350
4.9792,-158.6042,27.9500
4.9792,-158.5625,27.8750
4.9792,-158.5208,27.9050
4.9792,-158.4792,27.9200
4.9792,-158.4375,27.9850
4.9792,-158.3958,27.9250
4.9792,-158.3542,28.0650
4.9792,-158.3125,27.9850
4.9792,-158.2708,27.8750
4.9792,-158.2292,28.1400
4.9792,-158.1875,27.8350
4.9792,-158.1458,27.8100
4.9792,-158.1042,27.8350
4.9792,-158.0625,27.9150
4.9792,-158.0208,27.8100
4.9792,-157.9792,27.9050
4.9792,-157.9375,27.9100
4.9792,-157.8958,27.8350
4.9792,-157.8542,27.8200
4.9792,-157.8125,27.8350
4.9792,-157.7708,27.7150
4.9792,-157.7292,27.8900
4.9792,-157.6875,27.9400
4.9792,-157.6458,27.9500
4.9792,-157.6042,27.9550
4.9792,-157.5625,27.9050
4.9792,-157.5208,27.9000
4.9792,-157.4792,27.9000
4.9792,-157.4375,27.8000
4.9792,-157.3958,27.6800
4.9792,-157.3542,27.7950
4.9792,-157.3125,27.8650
4.9792,-157.2708,27.8800
4.9792,-157.2292,27.8950
4.9792,-157.1875,27.8650
4.9792,-157.1458,27.8300
4.9792,-157.1042,27.8250
4.9792,-157.0625,27.7550
4.9792,-157.0208,27.6750
4.9792,-156.9792,27.6900
4.9792,-156.9375,27.7250
4.9792,-156.8958,27.8150
4.9792,-156.8542,27.9800
4.9792,-156.8125,27.7800
4.9792,-156.7708,27.6700
4.9792,-156.7292,27.6950
4.9792,-156.6875,27.6400
4.9792,-156.6458,27.8300
4.9792,-156.6042,27.9600
4.9792,-156.5625,27.8500
4.9792,-156.5208,27.8000
4.9792,-156.4792,27.8550
4.9792,-156.4375,27.9500
4.9792,-156.3958,28.1250
4.9792,-156.3542,28.0850
4.9792,-156.3125,28.0400
4.9792,-156.2708,27.9900
4.9792,-156.2292,28.0100
4.9792,-156.1875,27.9650
4.9792,-156.1458,27.9150
4.9792,-156.1042,28.1700
4.9792,-156.0625,28.4500
4.9792,-156.0208,28.5150
4.9792,-155.9792,28.2950
4.9792,-155.9375,28.1850
4.9792,-155.8958,28.1700
4.9792,-155.8542,28.2350
4.9792,-155.8125,28.3200
4.9792,-155.7708,28.1800
4.9792,-155.7292,28.2600
4.9792,-155.6875,28.2050
4.9792,-155.6458,28.2500
4.9792,-155.6042,28.1850
4.9792,-155.5625,28.1550
4.9792,-155.5208,28.2500
4.9792,-155.4792,28.0250
4.9792,-155.4375,27.7900
4.9792,-155.3958,27.7300
4.9792,-155.3542,27.7100
4.9792,-155.3125,27.7850
